month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2019,Avondale,31,11,0,20,231.17,465.09,12570,5516,3724,1951,395,3.17,0.385605511,0.661131539,2.148326173,1,1169010,3705761.7,989246.43,0.266948204,60996,0.052177484,0.980257226,0,0,0,0,0,0,0,0,0,0,0
1,2019,Bond Hill,31,11,0,20,231.17,465.09,7174,3182,1642,974,210,3.17,0.166561911,0.861170719,2.209983273,1,667182,2114966.94,246497.7,0.116549198,30784,0.046140334,1.02386025,0,0,0,0,0,0,0,0,0,0,0
1,2019,California,31,11,0,20,231.17,465.09,976,373,197,71,77,3.17,0,0.995655354,2.62,0.13,90768,287734.56,0,0,500.24,0.005511193,1.001166548,0,0,0,0,0,0,0,0,0,0,0
1,2019,Camp Washington,31,11,0,20,231.17,465.09,1396,446,230,90,47,3.17,0.311659193,0.850194744,2.36,1,129828,411554.76,64647.51,0.157081186,3562,0.0274363,1.034712231,0,0,0,0,0,0,0,0,0,0,0
1,2019,Carthage,31,11,0,20,231.17,465.09,2940,1039,1017,569,245,3.17,0.26852743,0.798250225,2.82,1,273420,866741.4,129760.11,0.149710294,21164,0.077404725,1.025365245,0,0,0,0,0,0,0,0,0,0,0
1,2019,Clifton,31,11,0,20,231.17,465.09,8552,4156,1437,824,202,3.17,0.063282002,0.867285366,2.05898971,0.4,795336,2521215.12,122318.67,0.048515761,10670.4,0.013416217,0.929217344,0,0,0,0,0,0,0,0,0,0,0
1,2019,College Hill,31,11,0,20,231.17,465.09,16403,7201,3858,2424,568,3.17,0.147896126,0.848234995,2.259642139,1,1525479,4835768.43,495320.85,0.102428571,77792,0.05099513,1.001658696,0,0,0,0,0,0,0,0,0,0,0
1,2019,Columbia Tusculum,31,11,0,20,231.17,465.09,1573,741.3396774,288.7216129,145.6293548,42.11580645,3.17,0,0.985060788,2.12,0.13,146289,463736.13,0,0,634.5786452,0.004337843,0.989398631,0,0,0,0,0,0,0,0,0,0,0
1,2019,Corryville,31,11,0,20,231.17,465.09,3984,1863,206,56,28,3.17,0.088030059,0.707081154,2.07188253,1,370512,1174523.04,76274.76,0.06494105,2184,0.005894546,0.777916751,0,0,0,0,0,0,0,0,0,0,0
1,2019,CUF,31,11,0,20,231.17,465.09,16974,5547,607,271,122,3.17,0.07066883,0.757190222,2.238798162,1,1578582,5004104.94,182315.28,0.036433145,10218,0.006472898,0.800096265,0,0,0,0,0,0,0,0,0,0,0
1,2019,Downtown,31,11,0,20,231.17,465.09,3857,2785.980015,161.0910437,42.35603257,9.401184308,3.17,0.105997329,0.894340912,1.355066114,1,358701,1137082.17,137344.072,0.120786409,1345.687639,0.003751558,1.01887888,0,0,0,0,0,0,0,0,0,0,0
1,2019,East End,31,11,0,20,231.17,465.09,1601,747,314,157,70,3.17,0.096385542,0.906127111,2.13,1,148893,471990.81,33486.48,0.070947314,5902,0.039639204,1.016713629,0,0,0,0,0,0,0,0,0,0,0
